cve_id,cvss_base_score,days_since_disclosure,cwe_ids,exploit_available,public_facing,data_sensitivity,has_patch,attack_vector_ADJACENT_NETWORK,attack_vector_LOCAL,attack_vector_NETWORK,attack_vector_PHYSICAL,attack_complexity_HIGH,attack_complexity_LOW,privileges_required_HIGH,privileges_required_LOW,privileges_required_NONE,user_interaction_NONE,user_interaction_REQUIRED,scope_CHANGED,scope_UNCHANGED,confidentiality_impact_HIGH,confidentiality_impact_LOW,confidentiality_impact_NONE,integrity_impact_HIGH,integrity_impact_LOW,integrity_impact_NONE,availability_impact_HIGH,availability_impact_LOW,availability_impact_NONE,risk_score
CVE-2013-1340,8.4,0,"CWE-264,CWE-416",0,0,0,0,False,True,False,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,5.36
CVE-2013-3129,7.8,0,"CWE-94,CWE-94",1,0,2,0,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,8.780000000000001
CVE-2013-3163,8.8,0,"CWE-787,CWE-787",1,0,1,0,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,8.85
CVE-2013-2115,8.1,0,CWE-94,1,1,1,0,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,9.57
CVE-2013-3245,6.3,0,"CWE-119,CWE-122,CWE-125",0,0,0,0,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,4.52
CVE-2013-1943,7.8,0,CWE-20,1,0,0,0,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,8.120000000000001
CVE-2013-2251,9.8,0,"CWE-74,CWE-74",1,0,0,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,8.92
CVE-2013-3346,9.8,0,"CWE-787,CWE-787",1,0,2,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,9.58
CVE-2013-0810,8.1,0,"CWE-94,CWE-94",1,0,1,0,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,8.57
CVE-2013-1342,7.8,0,CWE-119,0,0,0,0,False,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,5.12
CVE-2013-4810,9.8,0,"CWE-94,CWE-94",1,0,0,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,8.92
